,first_name,last_name,city,postcode,age,income,phone_number
139,Wiesława,Sadowska,Piła,60-395,83,4618.86,579223038
140,Otylia,Krajewska,Piła,60-252,50,8766.82,607506628
141,Arleta,Szymczak,Konin,63-012,61,5446.50,693595669
142,Lucjanna,Urbańska,Gniezno,61-892,21,9187.07,457740470
143,Edwarda,Urbaniak,Gniezno,26-590,49,6198.74,572653251
144,Albina,Laskowska,Leszno,61-553,57,4913.30,537739335
145,Julia,Kowalska,Szamotuły,61-116,39,6147.40,531877448
146,Izabella,Szewczyk,Poznań,61-368,21,1751.67,663879159
147,Eliza,Tomaszewska,Ostrów Wielkopolski,61-309,75,6758.46,793039987
148,Nina,Marciniak,Gniezno,61-627,54,6659.76,793915674
149,Zofia,Wilczyńska,Poznań,62-709,52,8649.49,694636891
150,Blanka,Domańska,Gniezno,64-840,38,3227.39,510003844
151,Ida,Wawrzyniak,Poznań,60-866,62,9323.73,783062056
152,Bogumiła,Cieślak,Gniezno,60-355,54,8641.20,698336566
153,Irmina,Domańska,Gniezno,62-811,57,9504.09,731270580
154,Józefa,Młynarczyk,Kalisz,62-731,66,6894.56,886617852
155,Tekla,Brzezińska,Piła,60-313,19,9027.79,661067193
156,Ludwika,Borkowska,Poznań,62-550,92,4057.51,606480601
157,Adriana,Adamczyk,Leszno,62-600,24,8426.10,451863389
158,Benedykta,Lis,Konin,61-729,55,5457.67,786485931
159,Wilhelmina,Szymańska,Poznań,60-265,35,3697.20,455247063
160,Józefa,Baranowska,Konin,61-871,61,4751.72,574384460
161,Ksenia,Rutkowska,Poznań,61-841,41,7011.06,662892961
162,Natalia,Urbaniak,Konin,62-064,89,5351.40,725567941
163,Ewa,Dudek,Konin,61-315,51,7752.15,458260594
164,Irmina,Domańska,Piła,61-003,70,3383.52,782746370
165,Izabella,Wasilewska,Leszno,61-243,38,2745.80,578916085
166,Ernestyna,Urbaniak,Piła,64-423,20,9744.77,883366821
167,Prakseda,Nowakowska,Konin,62-100,51,8807.60,791581534
168,Izabella,Tomczak,Leszno,62-610,62,4901.41,511436041
169,Kornela,Cieślak,Kalisz,61-011,56,6994.00,782619165
170,Eleonora,Kucharska,Konin,61-877,97,9039.01,539904654
171,Sławomira,Szczepańska,Poznań,61-212,76,7838.40,519263687
172,Karolina,Jasińska,Kalisz,61-308,100,7296.45,886000319
173,Włodzimiera,Szewczyk,Poznań,61-874,42,9190.31,789460909
174,Eugenia,Michalak,Konin,61-221,83,5538.58,510482699
175,Grażyna,Szewczyk,Kalisz,62-782,64,7062.36,882774530
176,Feliksa,Maj,Konin,61-643,68,6964.30,538873328
177,Ludwina,Kubicka,Piła,60-374,99,6454.48,721028394
178,Diana,Głowacka,Poznań,64-708,72,6220.39,792385541
179,Hanka,Górska,Szamotuły,60-703,92,7145.74,609799537
180,Diana,Szewczyk,Gniezno,61-767,78,7068.81,780239478
181,Stella,Czarnecka,Szamotuły,60-171,28,4903.14,600173121
182,Eliza,Bąk,Piła,60-654,75,8603.59,509255351
183,Izabella,Dudek,Poznań,63-013,58,5047.23,797550198
184,Konstancja,Dudek,Kalisz,62-604,93,6563.53,601830557
185,Edeltrauda,Urbaniak,Poznań,64-010,84,6409.44,791797651
186,Izabella,Kulesza,Piła,61-348,27,7716.21,517072493
187,Genowefa,Zielińska,Kalisz,61-638,29,2761.79,882163670
188,Eufemia,Czerwińska,Poznań,62-080,24,8781.82,694230626
189,Julia,Rutkowska,Szamotuły,60-226,58,5646.02,500349496
190,Lucjanna,Maciejewska,Poznań,62-292,25,9439.93,727705933
191,Alfreda,Kucharska,Kalisz,63-842,77,6043.67,505119382
192,Henryka,Wawrzyniak,Gniezno,60-783,63,6902.31,501959029
193,Ernestyna,Zawadzka,Poznań,61-288,87,10827.57,882727373
194,Mariola,Wawrzyniak,Kalisz,61-136,41,6445.32,796349280
195,Gabriela,Grabowska,Piła,60-425,61,9477.70,660181022
196,Teofila,Głowacka,Poznań,60-785,28,7078.09,725673167
197,Jowita,Sadowska,Kalisz,64-410,91,7830.84,694530954
198,Daniela,Kamińska,Poznań,69-921,32,7139.92,730664964
199,Zenona,Szczepańska,Gniezno,61-758,26,8695.70,699180991
200,Wincentyna,Olszewska,Poznań,61-419,35,5628.94,573923365
201,Bernardeta,Nowicka,Szamotuły,61-741,84,5031.90,737961578
202,Kornelia,Urbańska,Piła,61-730,27,5722.85,692617100
203,Marta,Sokołowska,Poznań,61-139,68,7199.42,530101329
204,Teresa,Andrzejewska,Leszno,61-752,79,6558.36,797518599
205,Natalia,Bednarska,Kalisz,60-506,80,8420.55,502302887
206,Regina,Pawlicka,Gniezno,64-704,34,9609.46,882751609
207,Florentyna,Malinowska,Konin,62-652,23,5048.32,692558575
208,Henryka,Jaworska,Poznań,63-450,55,5532.10,692228361
209,Adelajda,Laskowska,Poznań,64-412,35,4127.52,793516724
210,Inga,Szewczyk,Ostrów Wielkopolski,60-348,75,11060.75,575853783
211,Żaneta,Urbańska,Konin,61-289,47,7609.34,575358337
212,Wioletta,Olszewska,Piła,61-477,55,7959.60,665059380
213,Erika,Kucharska,Konin,60-851,27,4319.58,885803977
214,Lubomira,Kaczmarska,Szamotuły,63-004,65,6997.66,539856125
215,Olimpia,Michalska,Poznań,61-392,33,8018.50,888804500
216,Regina,Kowalewska,Poznań,60-355,74,6494.48,726397530
217,Henryka,Olszewska,Szamotuły,62-200,24,9151.41,728146304
218,Wielisława,Sawicka,Szamotuły,60-213,98,11623.66,509665322
219,Zenobia,Brzezińska,Leszno,60-309,74,5105.87,791821849
220,Walentyna,Adamczyk,Konin,60-202,33,4955.83,506308792
221,Karina,Górska,Konin,61-523,19,5244.49,886648325
222,Edeltrauda,Wilczyńska,Konin,61-417,45,10212.40,796838730
223,Radosława,Rutkowska,Poznań,61-251,31,9084.71,695107344
224,Honorata,Dudek,Piła,62-050,36,6728.94,726032147
225,Sława,Wilczyńska,Poznań,61-517,90,7073.12,662230292
226,Jadwiga,Makowska,Gniezno,61-219,67,5366.91,507523498
227,Irmina,Makowska,Poznań,62-291,32,8780.05,578540969
228,Leontyna,Wojciechowska,Poznań,61-136,64,6240.20,609175197
229,Lucyna,Borkowska,Gniezno,60-639,39,6479.85,455404714
230,Bogumiła,Górska,Leszno,60-549,98,8217.58,692480916
231,Kamila,Pawlak,Gniezno,63-507,21,6624.01,507892809
232,Galina,Górecka,Poznań,60-720,78,6530.07,786893761
233,Lilia,Sikora,Szamotuły,64-316,81,7021.15,538038498
234,Otolia,Górska,Gniezno,64-530,24,8590.71,662976111
235,Erika,Cieślicka,Piła,62-006,32,10292.99,781322145
236,Kinga,Górecka,Poznań,61-819,50,8170.97,456586027
237,Ingeborga,Laskowska,Leszno,60-222,89,8606.63,662438248
238,Janina,Dudek,Konin,60-356,62,6600.29,733596183
239,Józefa,Czerwińska,Kalisz,60-284,72,5584.40,666194095
240,Ernestyna,Wasilewska,Leszno,61-699,82,8307.97,459590470
241,Dobrosława,Kowalska,Poznań,60-803,86,7342.48,506945848
242,Natalia,Król,Konin,61-734,57,4154.74,514102489
243,Eliza,Borkowska,Poznań,60-245,60,6343.86,666990546
244,Rita,Krawczyk,Konin,64-810,77,6834.21,602402843
245,Celestyna,Kaczmarek,Poznań,60-786,40,5979.08,782016659
246,Maryla,Pawłowska,Poznań,60-335,88,9963.47,535124954
247,Marzanna,Górecka,Kalisz,61-502,20,7959.68,510132458
248,Izabella,Wilczyńska,Konin,61-664,34,9746.35,575997298
249,Ewelina,Wiśniewska,Leszno,60-615,84,7526.85,724998001
250,Seweryna,Cieślicka,Kalisz,61-852,46,7162.78,507863126
251,Celestyna,Cieślicka,Gniezno,60-782,30,5126.80,662564669
252,Marlena,Czajka,Konin,60-196,33,7023.86,788482874
253,Olga,Pawłowska,Kalisz,60-651,62,7026.11,882624235
254,Celina,Czarnecka,Szamotuły,63-233,87,4265.77,793674847
255,Eufemia,Walczak,Kalisz,61-509,24,5920.95,730870857
256,Berta,Szewczyk,Piła,64-360,20,6353.43,600984897
257,Lucyna,Tomczak,Gniezno,60-261,56,7826.96,533040065
258,Alicja,Michalska,Poznań,60-808,96,7922.70,792926066
259,Lilia,Zielińska,Konin,62-814,41,5837.36,518151401
260,Marzena,Bednarska,Gniezno,65-590,97,7937.74,727512827
261,Marcelina,Kulesza,Ostrów Wielkopolski,61-252,91,6635.84,723219455
262,Zenona,Kowalska,Konin,62-561,41,1260.76,507601501
263,Marta,Wójcik,Poznań,60-623,85,6030.60,793734720
264,Emma,Ostrowska,Kalisz,60-325,74,9157.98,788923475
265,Izabela,Tomaszewska,Poznań,60-104,60,3636.39,889413865
266,Honorata,Dudek,Gniezno,62-100,53,7225.38,530957749
267,Mariola,Zawadzka,Kalisz,61-423,85,10170.52,738962187
268,Mirosława,Mazurska,Gniezno,61-816,83,5478.77,605204310
269,Zofia,Marciniak,Piła,62-052,80,7004.30,734944670
270,Marianna,Zakrzewska,Kalisz,61-833,100,4391.97,735309785
271,Łucja,Kubicka,Kalisz,60-860,57,10254.46,795286530
272,Jolanta,Kulesza,Gniezno,61-121,84,6833.33,578615907
273,Patrycja,Pawlak,Piła,61-307,89,7093.25,789293480
274,Luiza,Czerwińska,Piła,61-294,35,9708.60,666835395
275,Izabella,Kowalska,Poznań,61-537,21,8322.96,780365055
276,Izabella,Grabowska,Kalisz,60-639,51,5248.74,667181976
277,Adelajda,Cieślicka,Poznań,60-747,88,5705.44,451937021
278,Jowita,Wasilewska,Piła,60-287,42,7989.86,693117605
279,Ala,Pawlak,Kalisz,63-400,75,5751.76,664116139
280,Helena,Krawczyk,Konin,61-166,19,2765.51,889305403
281,Sabina,Kwiatkowska,Poznań,64-061,47,6893.52,577863475
282,Celina,Lewandowska,Leszno,60-204,68,4039.57,606519615
283,Wacława,Przybylska,Gniezno,64-410,29,10232.56,512313813
284,Edwarda,Wiśniewska,Poznań,62-106,92,7353.58,886060689
285,Anastazja,Wiśniewska,Poznań,61-116,31,5189.65,795708210
286,Bożena,Kucharska,Piła,61-064,93,5602.74,732248871
287,Izabella,Kowalska,Gniezno,60-514,36,3221.20,516161345
288,Eliza,Maciejewska,Poznań,64-115,100,4801.08,519122432
289,Hanna,Olszewska,Leszno,60-538,68,9032.65,531829996
290,Judyta,Maj,Szamotuły,60-351,25,11463.57,516946089
291,Stanisława,Sadowska,Gniezno,61-332,23,8452.79,694642269
292,Sława,Nowicka,Kalisz,60-834,24,6815.91,609311081
293,Stefania,Kowalska,Leszno,60-654,66,6136.08,733788513
294,Estera,Kołodziejska,Leszno,60-647,84,5087.01,789831767
295,Modesta,Kubicka,Poznań,61-845,51,11119.53,693950980
296,Bibianna,Cieślak,Gniezno,61-409,54,6622.50,792468648
297,Augustyna,Duda,Poznań,60-681,66,11231.26,511738109
298,Wincentyna,Stępieńska,Poznań,60-626,62,9787.04,727815254
299,Ruta,Kucharska,Gniezno,63-840,74,3518.41,457991588
300,Wincentyna,Górska,Szamotuły,61-778,57,5668.10,513044798
301,Monika,Olszewska,Gniezno,60-279,77,5661.91,501375123
302,Eliza,Szewczyk,Konin,60-169,100,6840.31,603817908
303,Sławomira,Jasińska,Konin,61-897,47,6879.37,783403647
304,Hermina,Urbańska,Konin,61-327,19,12992.48,570513568
305,Ryszarda,Wiśniewska,Leszno,62-840,28,4845.54,690483628
306,Izabella,Pawlicka,Kalisz,62-650,63,7457.94,732687974
307,Kunegunda,Sadowska,Konin,63-830,46,8233.02,534555618
308,Julia,Bednarska,Kalisz,61-001,95,6996.86,509112325
309,Bogumiła,Wójcik,Piła,62-561,69,7220.36,692248516
310,Elwira,Kucharska,Ostrów Wielkopolski,61-762,61,4910.38,782991607
311,Anastazja,Wiśniewska,Poznań,61-766,83,7212.97,530540260
312,Natalia,Ostrowska,Konin,60-767,39,8022.80,785548652
313,Izabella,Adamska,Poznań,61-039,85,7655.20,570235498
314,Izabella,Baranowska,Konin,60-232,18,8140.40,507600530
315,Izabella,Sikora,Leszno,26-590,69,9825.22,734495032
316,Izabella,Olszewska,Poznań,61-375,95,8873.93,739143437
317,Krzysztofa,Andrzejewska,Gniezno,64-360,83,7142.59,727985349
318,Felicja,Szczepańska,Kalisz,63-750,88,4656.48,605493899
319,Izydora,Walczak,Szamotuły,60-264,51,5799.99,789279515
320,Ksenia,Mazurska,Poznań,62-000,86,6560.74,504035801
321,Gizela,Maj,Poznań,60-538,63,7504.69,668937544
322,Izabella,Adamska,Konin,61-302,69,6043.33,698441001
323,Eliza,Szymczak,Poznań,61-502,23,5128.53,781000750
324,Malwina,Kowalska,Poznań,61-012,35,4623.60,518528759
325,Jarosława,Wawrzyniak,Ostrów Wielkopolski,61-602,63,3697.64,503332630
326,Erika,Kubicka,Poznań,60-469,23,6530.10,792186540
327,Eliza,Olszewska,Poznań,61-608,79,4060.67,664321915
328,Leontyna,Kaczmarska,Kalisz,60-701,87,4998.95,516933509
329,Aldona,Duda,Kalisz,60-005,93,6212.20,721680929
330,Leonia,Szymańska,Kalisz,61-782,26,4328.17,452440325
331,Sylwia,Mazurska,Konin,60-203,95,7759.50,721907979
332,Inga,Młynarczyk,Piła,63-840,24,8480.45,606084444
333,Cyryla,Zając,Poznań,60-138,57,5901.15,794787849
334,Regina,Zając,Konin,60-378,87,6125.95,454446220
335,Amelia,Wasilewska,Gniezno,60-347,24,8074.86,608791525
336,Genowefa,Dąbrowska,Piła,60-731,19,5572.01,880007137
337,Benedykta,Pawlicka,Konin,61-672,20,5434.53,880895386
338,Renata,Wawrzyniak,Kalisz,60-232,60,9393.00,513594541
339,Włodzimiera,Kubicka,Poznań,60-725,85,8768.38,459232536
340,Magdalena,Cieślicka,Poznań,60-328,28,8203.10,500859957
341,Heronima,Tomczak,Poznań,61-541,28,8851.29,722638872
342,Augustyna,Malinowska,Gniezno,62-406,65,3045.44,889892617
343,Anetta,Olszewska,Leszno,64-610,37,9707.67,513545541
344,Ingeborga,Zawadzka,Gniezno,60-692,78,7784.12,784438785
345,Dobrosława,Pawłowska,Poznań,61-212,96,9021.56,519707391
346,Iza,Lewandowska,Piła,61-486,81,7774.32,728440504
347,Róża,Kubicka,Piła,60-849,90,7097.85,786416751
348,Patrycja,Laskowska,Poznań,61-442,61,6449.38,538939004
349,Genowefa,Czarnecka,Poznań,60-439,86,7734.29,793127936
350,Amelia,Szymczak,Poznań,64-061,33,6376.50,518030935
351,Emilia,Urbańska,Piła,64-850,24,8735.75,736486125
352,Dagmara,Kamińska,Poznań,63-234,72,3827.09,531935911
353,Edwarda,Kaźmierczak,Kalisz,60-307,22,5916.85,729615331
354,Liliana,Wawrzyniak,Konin,60-661,91,11089.65,884956605
355,Eliza,Andrzejewska,Gniezno,60-357,75,5747.84,531304745
356,Ludomira,Michalska,Kalisz,60-791,96,6522.63,734109629
357,Sylwestra,Maj,Kalisz,60-631,44,5234.84,573698811
358,Arleta,Sobczak,Ostrów Wielkopolski,61-219,58,7671.69,577877128
359,Teofila,Duda,Poznań,61-203,79,5527.47,791826617
360,Otolia,Sadowska,Piła,60-278,38,6628.78,694992379
361,Władysława,Kubicka,Poznań,60-336,62,8697.73,530290897
362,Aleksandra,Pawłowska,Konin,60-841,72,5602.47,886902760
363,Renata,Baranowska,Piła,60-863,98,8577.22,600646400
364,Klementyna,Maj,Gniezno,60-271,79,8644.46,739472555
365,Kamila,Michalska,Gniezno,60-309,28,9109.91,883670970
366,Mirela,Górska,Poznań,61-248,57,7281.08,531683261
367,Tekla,Domańska,Konin,61-136,66,13482.52,666083778
368,Izabella,Gajewska,Konin,62-022,30,9109.07,570934688
369,Ida,Kozłowska,Kalisz,60-552,53,7649.76,458727018
370,Ludomira,Cieślak,Konin,61-689,41,5248.15,514391165
371,Julia,Wójcik,Leszno,63-220,28,6805.88,577912378
372,Izabella,Kulesza,Leszno,61-624,60,9852.65,695735670
373,Izabella,Tomaszewska,Poznań,64-520,32,10419.07,791964265
374,Aniela,Zakrzewska,Konin,60-703,66,9956.66,575389330
375,Marzena,Bąk,Poznań,60-521,32,8570.38,794949701
376,Włodzimiera,Rutkowska,Piła,64-761,77,4488.68,508526157
377,Nina,Wawrzyniak,Kalisz,61-728,34,7974.32,570041022
378,Izabella,Przybylska,Poznań,60-575,91,4517.20,786025075
379,Ligia,Lewandowska,Gniezno,61-820,20,4025.06,509214490
380,Bernarda,Lewandowska,Piła,60-224,61,7478.32,511952052
381,Włodzimiera,Baranowska,Poznań,61-642,44,8046.40,512041236
382,Marcela,Młynarczyk,Poznań,61-741,36,8806.75,782229187
383,Gizela,Zielińska,Poznań,60-787,57,7994.27,518325732
384,Izabella,Zając,Poznań,62-301,87,8063.17,601913411
385,Jagoda,Baranowska,Gniezno,61-231,93,5030.69,609154983
386,Bernardyna,Sokołowska,Ostrów Wielkopolski,60-773,43,6790.05,667921502
387,Kornela,Kaźmierczak,Poznań,61-802,31,3985.77,510739352
388,Aleksandra,Wilk,Gniezno,60-548,77,2993.26,730348565
389,Ala,Bednarska,Poznań,60-192,66,8481.29,889451256
390,Luba,Wojciechowska,Kalisz,62-040,34,5493.75,508488029
391,Henryka,Urbańska,Gniezno,61-286,80,8745.00,729136721
392,Elfryda,Czajka,Konin,61-857,61,9216.70,784767581
393,Krzysztofa,Borkowska,Poznań,64-125,72,5761.37,798389349
394,Teresa,Urbańska,Kalisz,61-379,47,8180.62,513451671
395,Marlena,Duda,Ostrów Wielkopolski,61-747,54,5677.69,609003809
396,Marcelina,Młynarczyk,Poznań,62-580,33,3308.24,699778849
397,Violetta,Witkowska,Poznań,63-460,80,7246.62,885400065
398,Leonarda,Olszewska,Poznań,61-245,31,6058.25,883739475
399,Paulina,Kulesza,Kalisz,61-136,82,6119.82,665935681
400,Pelagia,Maciejewska,Kalisz,62-540,83,10950.69,735577528
401,Ksenia,Brzezińska,Gniezno,61-567,79,3948.29,721468400
402,Marcela,Zakrzewska,Gniezno,60-728,20,7765.74,502561493
403,Alina,Kaźmierczak,Piła,61-714,40,5010.39,727989919
404,Józefina,Gajewska,Gniezno,61-661,56,8816.52,783283495
405,Larysa,Kamińska,Poznań,61-524,67,7596.86,720160507
406,Ludwika,Zając,Kalisz,60-718,93,7758.69,608226006
407,Magda,Cieślak,Leszno,60-159,49,5110.22,514507745
408,Lucyna,Wasilewska,Leszno,60-694,90,5468.82,507310561
