rec-id,given-name,second-name,surname,telephone-number,birthday_year
rec-022-dup-1,Julia,Kaczmarek,Iza,786685161,16/03/1985
rec-022-org,Julia,Iza,Kaczmarek,786685161,16/03/1958
rec-023-dup-0,Otylia,Sabina,Adamska,,09/01/1929
rec-023-dup-1,Otylia,Adamska,Sabina,576374549,09/01/1929
rec-023-org,Otylia,Sabina,Adamska,576374549,09/01/1992
rec-024-org,Iwonna,Amelia,Pawlak,530174268,25/12/2007
rec-025-org,Augustyna,Dominika,Nowakowska,575933272,12/10/1978
rec-026-dup-0,Alina,Agata,Kucharska,,03/06/1928
rec-026-org,Agata,Alina,Kucharska,888339187,03/06/1982
rec-027-dup-0,Hildegarda,Elżbieta,Dąbrowska,,04/08/2010
rec-027-org,Hildegarda,Elżbieta,Dąbrowska,728398225,04/08/2001
rec-028-org,Brygida,Benedykta,Szczepańska,508707286,18/01/1978
rec-029-dup-0,Daniela,Felicja,Jankowska,,23/06/1914
rec-029-org,Felicja,Daniela,Jankowska,790640391,23/06/1941
rec-030-org,Teodora,Lucjanna,Włodarczyk,507046226,15/07/1973
rec-031-org,Maryla,Ludmiła,Szulc,788251286,08/12/1982
rec-032-dup-0,Sokołowska,Donata,Halina,,07/05/1917
rec-032-org,Donata,Halina,Sokołowska,698686337,07/05/1971
rec-033-dup-0,Violetta,Ludmiła,Lewandowska,,22/10/1983
rec-033-org,Ludmiła,Violetta,Lewandowska,669033119,22/10/1938
rec-034-dup-0,Dąbrowska,Marianna,Julitta,,08/05/1918
rec-034-dup-1,Dąbrowska,Marianna,Julitta,456738302,08/05/1918
rec-034-dup-2,Dąbrowska,Marianna,Julitta,456738302,08/05/1918
rec-034-org,Marianna,Julitta,Dąbrowska,456738302,08/05/1981
rec-035-dup-0,Duda,Feliksa,Genowefa,,18/01/1986
rec-035-org,Feliksa,Genowefa,Duda,735342836,18/01/1968
rec-036-org,Izabella,Iza,Laskowska,786870568,14/07/1969
rec-037-dup-0,Wasilewska,Klaudia,Izabella,,14/09/2060
rec-037-org,Izabella,Klaudia,Wasilewska,518733427,14/09/2006
rec-038-org,Julitta,Scholastyka,Wasilewska,516343517,18/02/2000
rec-039-org,Janina,Edmunda,Witkowska,669901398,28/04/1961
rec-040-dup-0,Klaudia,Rutkowska,Bolesława,,11/09/2060
rec-040-org,Klaudia,Bolesława,Rutkowska,533173936,11/09/2006
rec-041-dup-0,Krzysztofa,Czarnecka,Mirela,,16/12/1994
rec-041-dup-1,Mirela,Czarnecka,Krzysztofa,725445877,16/12/1994
rec-041-dup-2,Krzysztofa,Mirela,Czarnecka,725445877,16/12/1994
rec-041-org,Mirela,Krzysztofa,Czarnecka,725445877,16/12/1949
rec-042-org,Urszula,Adela,Lewandowska,606093204,19/10/1983
rec-043-dup-0,Julitta,Andrzejewska,Gertruda,,11/11/1998
rec-043-dup-1,Julitta,Gertruda,Andrzejewska,535369378,11/11/1998
rec-043-org,Julitta,Gertruda,Andrzejewska,535369378,11/11/1989
rec-044-org,Natasza,Daria,Wilk,787725228,21/09/1980
rec-045-org,Leona,Larysa,Czajka,500062312,15/09/1931
rec-046-org,Domicela,Wacława,Nowicka,789770088,17/01/1975
rec-047-dup-0,Lubomira,Pietrzak,Edyta,,17/10/1936
rec-047-dup-1,Edyta,Lubomira,Pietrzak,458621182,17/10/1936
rec-047-dup-2,Lubomira,Pietrzak,Edyta,458621182,17/10/1936
rec-047-org,Lubomira,Edyta,Pietrzak,458621182,17/10/1963
rec-048-org,Berta,Marzena,Czajka,886156793,10/04/2018
rec-049-org,Bernadeta,Magda,Kubicka,880166687,23/01/1943
rec-050-dup-0,Monika,Erika,Michalska,,29/12/2050
rec-050-dup-1,Michalska,Monika,Erika,665918033,29/12/2050
rec-050-dup-2,Michalska,Monika,Erika,665918033,29/12/2050
rec-050-org,Erika,Monika,Michalska,665918033,29/12/2005
rec-051-dup-0,Dorota,Ludwika,Rutkowska,,19/04/1943
rec-051-org,Dorota,Ludwika,Rutkowska,451489025,19/04/1934
rec-052-dup-0,Tomaszewska,Adolfina,Bogna,,05/12/1937
rec-052-dup-1,Adolfina,Bogna,Tomaszewska,572939685,05/12/1937
rec-052-org,Adolfina,Bogna,Tomaszewska,572939685,05/12/1973
rec-053-org,Ida,Wirginia,Majewska,451631599,25/07/2011
rec-054-dup-0,Czajka,Gabriela,Eliza,,22/10/1985
rec-054-dup-1,Czajka,Eliza,Gabriela,577735866,22/10/1985
rec-054-dup-2,Gabriela,Czajka,Eliza,577735866,22/10/1985
rec-054-org,Gabriela,Eliza,Czajka,577735866,22/10/1958
rec-055-dup-0,Dagmara,Maria,Adamczyk,,12/06/1939
rec-055-dup-1,Maria,Dagmara,Adamczyk,573114262,12/06/1939
rec-055-org,Maria,Dagmara,Adamczyk,573114262,12/06/1993
rec-056-org,Inga,Hermina,Bąk,577541212,18/09/1976
rec-057-org,Kinga,Andżelika,Michalak,451581995,10/01/2002
rec-058-org,Romualda,Otolia,Maj,798398262,09/05/1954
rec-059-org,Luiza,Elfryda,Jasińska,516464715,24/04/1964
rec-060-org,Izabella,Melania,Szymczak,733712406,13/10/1970
rec-061-dup-0,Natalia,Kalinowska,Karina,,31/07/1996
rec-061-org,Natalia,Karina,Kalinowska,669245937,31/07/1969
rec-062-org,Urszula,Helga,Zielińska,797935646,07/10/1972
rec-063-dup-0,Jakubowska,Lena,Dominika,,22/07/1989
rec-063-org,Dominika,Lena,Jakubowska,788073741,22/07/1998
rec-064-dup-0,Kowalska,Bogdana,Wincenta,,19/08/2081
rec-064-dup-1,Bogdana,Wincenta,Kowalska,573426617,19/08/2081
rec-064-dup-2,Kowalska,Wincenta,Bogdana,573426617,19/08/2081
rec-064-org,Bogdana,Wincenta,Kowalska,573426617,19/08/2018
rec-065-org,Zinaida,Wanda,Górska,796805891,22/04/1950
rec-066-org,Izabella,Marzena,Szymczak,789096561,08/05/1932
rec-067-org,Lilia,Eliza,Olszewska,739375679,12/03/1991
rec-068-org,Julia,Aleksandra,Szymańska,576112545,17/04/1978
rec-069-org,Estera,Natasza,Sokołowska,507751401,21/06/1936
rec-070-dup-0,Prakseda,Dąbrowska,Eliza,,26/04/2011
rec-070-org,Prakseda,Eliza,Dąbrowska,538282586,26/04/2011
rec-071-org,Renata,Aurelia,Głowacka,516609379,23/01/1976
rec-072-org,Walentyna,Emma,Kaczmarska,881918255,09/02/1959
rec-073-dup-0,Izabela,Daria,Lis,,20/08/1917
rec-073-dup-1,Daria,Lis,Izabela,785969691,20/08/1917
rec-073-org,Izabela,Daria,Lis,785969691,20/08/1971
rec-074-org,Wioleta,Daniela,Majewska,884991251,06/02/1963
rec-075-org,Domicela,Julia,Grabowska,666929662,23/09/1980
rec-076-dup-0,Michalina,Górecka,Magdalena,,01/06/1924
rec-076-dup-1,Górecka,Michalina,Magdalena,517422579,01/06/1924
rec-076-dup-2,Magdalena,Michalina,Górecka,517422579,01/06/1924
rec-076-org,Magdalena,Michalina,Górecka,517422579,01/06/1942
rec-077-dup-0,Wojciechowska,Mirela,Daniela,,19/02/1908
rec-077-org,Daniela,Mirela,Wojciechowska,668876767,19/02/1980
rec-078-dup-0,Fryderyka,Lilianna,Domańska,,18/08/1939
rec-078-dup-1,Lilianna,Fryderyka,Domańska,454384279,18/08/1939
rec-078-dup-2,Fryderyka,Domańska,Lilianna,454384279,18/08/1939
rec-078-org,Fryderyka,Lilianna,Domańska,454384279,18/08/1993
rec-079-dup-0,Malinowska,Elżbieta,Lilia,,04/07/1916
rec-079-org,Lilia,Elżbieta,Malinowska,504858078,04/07/1961
rec-080-dup-0,Makowska,Iwonna,Gabryela,,19/12/1906
rec-080-dup-1,Gabryela,Makowska,Iwonna,457451713,19/12/1906
rec-080-dup-2,Makowska,Gabryela,Iwonna,457451713,19/12/1906
rec-080-org,Iwonna,Gabryela,Makowska,457451713,19/12/1960
rec-081-dup-0,Szewczyk,Michalina,Bronisława,,20/05/1917
rec-081-dup-1,Michalina,Szewczyk,Bronisława,662923309,20/05/1917
rec-081-org,Michalina,Bronisława,Szewczyk,662923309,20/05/1971
rec-082-dup-0,Olimpia,Pawłowska,Lucyna,,30/07/2021
rec-082-org,Lucyna,Olimpia,Pawłowska,794494812,30/07/2012
rec-083-org,Leona,Raisa,Sokołowska,512325367,09/11/1954
rec-084-org,Amelia,Zenobia,Kozłowska,691168457,19/06/2010
rec-085-org,Donata,Cyryla,Makowska,695186363,27/06/1980
rec-086-dup-0,Eliza,Iwona,Pawlicka,,01/08/1978
rec-086-org,Eliza,Iwona,Pawlicka,732975001,01/08/1987
rec-087-dup-0,Wójcik,Julia,Agata,,09/06/1984
rec-087-dup-1,Julia,Agata,Wójcik,690632424,09/06/1984
rec-087-org,Julia,Agata,Wójcik,690632424,09/06/1948
rec-088-org,Teofila,Dobrosława,Makowska,782064361,07/01/1991
rec-089-dup-0,Dudek,Anastazja,Henryka,,23/07/2071
rec-089-dup-1,Dudek,Anastazja,Henryka,733870051,23/07/2071
rec-089-dup-2,Dudek,Anastazja,Henryka,733870051,23/07/2071
rec-089-org,Anastazja,Henryka,Dudek,733870051,23/07/2017
rec-090-dup-0,Edwarda,Brzezińska,Joanna,,21/03/1935
rec-090-dup-1,Edwarda,Brzezińska,Joanna,536111554,21/03/1935
rec-090-dup-2,Edwarda,Joanna,Brzezińska,536111554,21/03/1935
rec-090-org,Edwarda,Joanna,Brzezińska,536111554,21/03/1953
rec-091-org,Adolfina,Berta,Urbańska,730927532,22/10/2007
rec-092-org,Wilhelmina,Kamilla,Bąk,502196565,09/04/1996
rec-093-org,Magdalena,Dagmara,Czerwińska,729994043,07/09/1982
rec-094-dup-0,Celestyna,Witkowska,Gertruda,,12/01/1954
rec-094-dup-1,Gertruda,Celestyna,Witkowska,453761379,12/01/1954
rec-094-dup-2,Witkowska,Gertruda,Celestyna,453761379,12/01/1954
rec-094-org,Celestyna,Gertruda,Witkowska,453761379,12/01/1945
rec-095-dup-0,Róża,Wanda,Sokołowska,,09/01/1958
rec-095-org,Wanda,Róża,Sokołowska,736582710,09/01/1985
rec-096-org,Izabella,Tekla,Włodarczyk,886848666,18/09/1947
rec-097-org,Celina,Weronika,Przybylska,504183285,25/11/1974
rec-098-org,Bożena,Mirella,Baranowska,576303161,02/10/1978
rec-099-org,Genowefa,Longina,Wasilewska,782102027,17/09/2011
rec-100-dup-0,Jolanta,Górecka,Eliza,,19/12/1944
rec-100-dup-1,Jolanta,Eliza,Górecka,514105648,19/12/1944
rec-100-org,Jolanta,Eliza,Górecka,514105648,19/12/1944
rec-101-org,Amelia,Henryka,Sobczak,698507925,19/02/1955
rec-102-org,Adela,Nina,Ostrowska,720003075,06/03/1973
rec-103-dup-0,Diana,Fryderyka,Witkowska,,12/10/1999
rec-103-org,Diana,Fryderyka,Witkowska,796353654,12/10/1999
rec-104-dup-0,Julia,Ksenia,Pawlicka,,11/05/2020
rec-104-org,Ksenia,Julia,Pawlicka,452380617,11/05/2002
rec-105-dup-0,Fryderyka,Zuzanna,Michalak,,16/10/1987
rec-105-dup-1,Zuzanna,Michalak,Fryderyka,455349493,16/10/1987
rec-105-org,Zuzanna,Fryderyka,Michalak,455349493,16/10/1978
rec-106-org,Nina,Lena,Sobczak,510603850,25/01/2010
rec-107-dup-0,Ludmiła,Michalak,Lena,,23/03/2021
rec-107-org,Lena,Ludmiła,Michalak,794138367,23/03/2012
rec-108-dup-0,Kaźmierczak,Izabella,Cyryla,,27/11/1918
rec-108-org,Izabella,Cyryla,Kaźmierczak,538657191,27/11/1981
rec-109-dup-0,Zawadzka,Ewelina,Ligia,,23/07/2070
rec-109-org,Ligia,Ewelina,Zawadzka,730623445,23/07/2007
rec-110-org,Gabriela,Wielisława,Szczepańska,573132912,15/08/1950
rec-111-org,Stanisława,Andżelika,Szymczak,725374741,10/11/1948
rec-112-dup-0,Pawłowska,Tekla,Bibianna,,27/05/1909
rec-112-dup-1,Tekla,Pawłowska,Bibianna,602135680,27/05/1909
rec-112-org,Bibianna,Tekla,Pawłowska,602135680,27/05/1990
rec-113-dup-0,Wincenta,Wawrzyniak,Eliza,,27/01/1925
rec-113-dup-1,Eliza,Wincenta,Wawrzyniak,698831712,27/01/1925
rec-113-dup-2,Eliza,Wincenta,Wawrzyniak,698831712,27/01/1925
rec-113-org,Wincenta,Eliza,Wawrzyniak,698831712,27/01/1952
rec-114-org,Łucja,Julita,Mazurska,665199410,29/04/2020
rec-115-dup-0,Szymańska,Blanka,Magdalena,,13/12/1977
rec-115-dup-1,Magdalena,Blanka,Szymańska,505107029,13/12/1977
rec-115-dup-2,Szymańska,Blanka,Magdalena,505107029,13/12/1977
rec-115-org,Magdalena,Blanka,Szymańska,505107029,13/12/1977
rec-116-dup-0,Eliza,Baranowska,Lucjanna,786253244,02/03/1977
rec-116-dup-1,Lucjanna,Baranowska,Eliza,,02/03/1977
rec-116-org,Lucjanna,Eliza,Baranowska,786253244,02/03/1977
rec-117-org,Galina,Serafina,Szymczak,534768701,14/03/1966
rec-118-org,Włodzimiera,Mirella,Bednarska,538065787,17/10/1971
rec-119-org,Aurelia,Otolia,Borkowska,510593040,17/08/1998
rec-120-dup-0,Bernadetta,Hanka,Laskowska,,12/07/1958
rec-120-dup-1,Hanka,Bernadetta,Laskowska,511334803,12/07/1958
rec-120-dup-2,Hanka,Laskowska,Bernadetta,511334803,12/07/1958
rec-120-org,Bernadetta,Hanka,Laskowska,511334803,12/07/1985
rec-121-dup-0,Wioleta,Grabowska,Inga,,27/04/1945
rec-121-dup-1,Inga,Grabowska,Wioleta,735590599,27/04/1945
rec-121-org,Wioleta,Inga,Grabowska,735590599,27/04/1954
rec-122-org,Luiza,Lucjanna,Sobczak,517010393,01/08/1935
rec-123-org,Arletta,Roma,Czerwińska,882525002,25/03/1985
rec-124-dup-0,Eliza,Zając,Izabella,,24/03/1935
rec-124-org,Izabella,Eliza,Zając,505691545,24/03/1953
rec-125-dup-0,Zbigniewa,Walczak,Gabryela,,10/07/1989
rec-125-dup-1,Gabryela,Zbigniewa,Walczak,785289539,10/07/1989
rec-125-dup-2,Walczak,Zbigniewa,Gabryela,785289539,10/07/1989
rec-125-org,Gabryela,Zbigniewa,Walczak,785289539,10/07/1998
rec-126-dup-0,Sokołowska,Aniela,Narcyza,,08/10/1996
rec-126-dup-1,Narcyza,Aniela,Sokołowska,790969029,08/10/1996
rec-126-org,Aniela,Narcyza,Sokołowska,790969029,08/10/1969
rec-127-dup-0,Michalska,Hanka,Aneta,,27/02/1988
rec-127-dup-1,Hanka,Michalska,Aneta,692513552,27/02/1988
rec-127-org,Hanka,Aneta,Michalska,692513552,27/02/1988
rec-128-dup-0,Cieślak,Izabela,Zbigniewa,,24/02/1946
rec-128-dup-1,Izabela,Zbigniewa,Cieślak,607043315,24/02/1946
rec-128-org,Izabela,Zbigniewa,Cieślak,607043315,24/02/1964
rec-129-dup-0,Hermina,Arletta,Jakubowska,,26/08/1937
rec-129-org,Hermina,Arletta,Jakubowska,696267658,26/08/1973
rec-130-org,Scholastyka,Leokadia,Urbaniak,532710405,03/02/1965
rec-131-org,Marcela,Romana,Kozłowska,511815997,31/07/1991
rec-132-dup-0,Eliza,Iwonna,Cieślak,,30/12/1919
rec-132-org,Iwonna,Eliza,Cieślak,662015336,30/12/1991
rec-133-dup-0,Romana,Dorota,Lewandowska,,02/03/2000
rec-133-org,Romana,Dorota,Lewandowska,574310698,02/03/2000
rec-134-dup-0,Stępieńska,Albina,Władysława,,03/05/1975
rec-134-dup-1,Władysława,Stępieńska,Albina,504973103,03/05/1975
rec-134-dup-2,Stępieńska,Władysława,Albina,504973103,03/05/1975
rec-134-org,Albina,Władysława,Stępieńska,504973103,03/05/1957
rec-135-dup-0,Mieczysława,Maja,Jankowska,,12/07/1985
rec-135-dup-1,Maja,Mieczysława,Jankowska,886774186,12/07/1985
rec-135-org,Maja,Mieczysława,Jankowska,886774186,12/07/1958
rec-136-dup-0,Cecylia,Benigna,Nowicka,,22/12/1955
rec-136-org,Benigna,Cecylia,Nowicka,577743490,22/12/1955
rec-137-dup-0,Monika,Zakrzewska,Dagmara,,31/07/1989
rec-137-dup-1,Monika,Zakrzewska,Dagmara,608693806,31/07/1989
rec-137-org,Monika,Dagmara,Zakrzewska,608693806,31/07/1998
rec-138-org,Róża,Ludwika,Malinowska,537416089,22/10/2005
rec-139-dup-0,Izabella,Adamczyk,Marzanna,,14/11/1967
rec-139-dup-1,Izabella,Adamczyk,Marzanna,887223320,14/11/1967
rec-139-dup-2,Adamczyk,Izabella,Marzanna,887223320,14/11/1967
rec-139-org,Marzanna,Izabella,Adamczyk,887223320,14/11/1976
rec-140-dup-0,Bogusława,Cieślicka,Natalia,,17/05/1938
rec-140-dup-1,Cieślicka,Bogusława,Natalia,734511686,17/05/1938
rec-140-dup-2,Natalia,Bogusława,Cieślicka,734511686,17/05/1938
rec-140-org,Bogusława,Natalia,Cieślicka,734511686,17/05/1983
rec-141-org,Eugenia,Ada,Sadowska,739861622,25/10/1984
rec-142-dup-0,Amelia,Wilk,Helena,,20/10/1998
rec-142-dup-1,Amelia,Helena,Wilk,881485646,20/10/1998
rec-142-dup-2,Helena,Wilk,Amelia,881485646,20/10/1998
rec-142-org,Amelia,Helena,Wilk,881485646,20/10/1989
rec-143-dup-0,Maja,Wilczyńska,Izabella,,23/06/2040
rec-143-org,Maja,Izabella,Wilczyńska,576299606,23/06/2004
rec-144-org,Sabina,Sylwia,Brzezińska,575054447,04/11/2001
rec-145-org,Kamila,Renata,Olszewska,797546913,24/07/1977
rec-146-org,Daniela,Maryla,Baranowska,458214862,29/09/1996
rec-147-dup-0,Izabella,Ostrowska,Hanna,,12/05/1919
rec-147-dup-1,Ostrowska,Izabella,Hanna,533030705,12/05/1919
rec-147-org,Hanna,Izabella,Ostrowska,533030705,12/05/1991
rec-148-dup-0,Ewa,Balbina,Sobczak,,19/08/1975
rec-148-org,Balbina,Ewa,Sobczak,781035797,19/08/1957
rec-149-dup-0,Izabella,Jasińska,Blandyna,,28/04/2010
rec-149-dup-1,Jasińska,Blandyna,Izabella,514140602,28/04/2010
rec-149-org,Blandyna,Izabella,Jasińska,514140602,28/04/2001
rec-150-dup-0,Sylwestra,Łucja,Rutkowska,,06/11/2060
rec-150-dup-1,Sylwestra,Rutkowska,Łucja,783468007,06/11/2060
rec-150-dup-2,Rutkowska,Łucja,Sylwestra,783468007,06/11/2060
rec-150-org,Łucja,Sylwestra,Rutkowska,783468007,06/11/2006
rec-151-dup-0,Dudek,Bernardeta,Heronima,,10/08/1946
rec-151-org,Heronima,Bernardeta,Dudek,579446657,10/08/1964
rec-152-org,Bolesława,Prakseda,Bednarska,731085899,04/11/1966
rec-153-dup-0,Matylda,Adamina,Głowacka,,26/01/1959
rec-153-org,Adamina,Matylda,Głowacka,575444328,26/01/1995
rec-154-dup-0,Lewandowska,Hildegarda,Heronima,,19/01/1947
rec-154-org,Heronima,Hildegarda,Lewandowska,602074466,19/01/1974
rec-155-dup-0,Tomaszewska,Honorata,Izabella,793875842,06/09/2000
rec-155-org,Honorata,Izabella,Tomaszewska,793875842,06/09/2000
rec-156-org,Aniela,Amelia,Kucharska,514825135,14/05/1962
rec-157-dup-0,Dobrosława,Czerwińska,Arletta,,16/02/2001
rec-157-dup-1,Arletta,Czerwińska,Dobrosława,734717099,16/02/2001
rec-157-org,Arletta,Dobrosława,Czerwińska,734717099,16/02/2010
rec-158-org,Emilia,Wirginia,Brzezińska,786846022,14/06/2018
rec-159-org,Hanna,Izabella,Jabłońska,602175250,07/05/1929
rec-160-dup-0,Magdalena,Żaneta,Maciejewska,,01/07/2021
rec-160-dup-1,Maciejewska,Żaneta,Magdalena,691296666,01/07/2021
rec-160-dup-2,Magdalena,Maciejewska,Żaneta,691296666,01/07/2021
rec-160-org,Żaneta,Magdalena,Maciejewska,691296666,01/07/2012
rec-161-dup-0,Alina,Wanda,Wiśniewska,,08/04/1978
rec-161-org,Alina,Wanda,Wiśniewska,795058300,08/04/1987
rec-162-org,Amelia,Lidia,Adamczyk,506894210,15/05/1968
rec-163-dup-0,Anita,Kucharska,Bolesława,,01/07/2001
rec-163-dup-1,Kucharska,Anita,Bolesława,606257532,01/07/2001
rec-163-dup-2,Bolesława,Kucharska,Anita,606257532,01/07/2001
rec-163-org,Bolesława,Anita,Kucharska,606257532,01/07/2010
rec-164-org,Kamila,Eufemia,Kowalska,513098215,13/01/1992
rec-165-org,Hanka,Adolfa,Wieczorek,730901001,04/07/1976
rec-166-dup-0,Laskowska,Ernestyna,Alfreda,,23/10/1956
rec-166-org,Alfreda,Ernestyna,Laskowska,792304618,23/10/1965
rec-167-dup-0,Irena,Szymańska,Filomena,,27/05/1968
rec-167-org,Irena,Filomena,Szymańska,729141173,27/05/1986
rec-168-dup-0,Pawlicka,Wielisława,Izabella,,11/08/1909
rec-168-dup-1,Pawlicka,Izabella,Wielisława,796420873,11/08/1909
rec-168-org,Wielisława,Izabella,Pawlicka,796420873,11/08/1990
rec-169-dup-0,Kołodziejska,Zyta,Władysława,,04/12/1964
rec-169-dup-1,Władysława,Zyta,Kołodziejska,781197218,04/12/1964
rec-169-org,Zyta,Władysława,Kołodziejska,781197218,04/12/1946
rec-170-dup-0,Mirella,Natasza,Kaczmarska,,26/06/2010
rec-170-dup-1,Kaczmarska,Natasza,Mirella,694470120,26/06/2010
rec-170-org,Natasza,Mirella,Kaczmarska,694470120,26/06/2001
rec-171-org,Stanisława,Irmgarda,Kołodziejska,501002255,09/10/2004
rec-172-org,Julianna,Dobrosława,Bednarska,511667467,29/11/1997
rec-173-org,Patrycja,Elżbieta,Dudek,790216979,20/03/1990
rec-174-dup-0,Maria,Wilczyńska,Iwonna,,11/11/1944
rec-174-dup-1,Wilczyńska,Maria,Iwonna,452771670,11/11/1944
rec-174-org,Maria,Iwonna,Wilczyńska,452771670,11/11/1944
rec-175-dup-0,Larysa,Sobczak,Lilla,799358891,08/12/1977
rec-175-org,Lilla,Larysa,Sobczak,799358891,08/12/1977
rec-176-org,Adamina,Amalia,Pawłowska,786289002,28/08/1981
rec-177-org,Klementyna,Eliza,Stępieńska,887535408,13/11/1962
rec-178-dup-0,Edeltrauda,Zając,Rita,,24/08/1915
rec-178-dup-1,Edeltrauda,Rita,Zając,697971775,24/08/1915
rec-178-org,Rita,Edeltrauda,Zając,697971775,24/08/1951
rec-179-org,Iwonna,Bożena,Młynarczyk,666088019,10/11/2012
rec-180-dup-0,Zenobia,Ilona,Sokołowska,,20/10/1948
rec-180-org,Zenobia,Ilona,Sokołowska,787550375,20/10/1984
rec-181-org,Maja,Jagoda,Młynarczyk,797113055,18/05/1999
rec-182-org,Wielisława,Bogumiła,Maj,500272614,04/04/1987
rec-183-org,Ligia,Adrianna,Piotrowska,883516091,15/08/1995
rec-184-org,Mariola,Pelagia,Olszewska,517080869,25/09/1980
rec-185-org,Czesława,Katarzyna,Ostrowska,792169958,20/07/2003
rec-186-org,Wiktoria,Czesława,Witkowska,604722698,18/12/1968
rec-187-org,Stanisława,Fryderyka,Szewczyk,533394522,21/12/1981
rec-188-org,Otylia,Mieczysława,Kubicka,727996846,04/09/1998
rec-189-dup-0,Julia,Tomczak,Eulalia,450342442,26/12/2000
rec-189-dup-1,Eulalia,Tomczak,Julia,,26/12/2000
rec-189-dup-2,Julia,Tomczak,Eulalia,,26/12/2000
rec-189-org,Julia,Eulalia,Tomczak,450342442,26/12/2000
rec-190-org,Adriana,Adela,Urbańska,455719838,26/09/1974
rec-191-dup-0,Witkowska,Modesta,Luiza,,27/08/1906
rec-191-dup-1,Luiza,Witkowska,Modesta,666658004,27/08/1906
rec-191-org,Modesta,Luiza,Witkowska,666658004,27/08/1960
rec-192-org,Gertruda,Izabella,Zielińska,795989334,03/11/1978
rec-193-org,Benigna,Michalina,Zielińska,721606484,28/10/1953
rec-194-org,Eulalia,Teodozja,Zawadzka,692025909,16/05/2000
rec-195-dup-0,Alina,Pawlicka,Eliza,,18/09/1965
rec-195-dup-1,Alina,Eliza,Pawlicka,505832818,18/09/1965
rec-195-org,Eliza,Alina,Pawlicka,505832818,18/09/1956
rec-196-dup-0,Cyryla,Rita,Jabłońska,,27/09/1928
rec-196-dup-1,Cyryla,Rita,Jabłońska,533555439,27/09/1928
rec-196-dup-2,Rita,Cyryla,Jabłońska,533555439,27/09/1928
