,first_name,last_name,city,postcode,age,income,phone_number
40,Feliksa,Cieślak,leszno,60-406,54,8945.58R,601032167
41,Jdyta,Sahdowska,Gniezno,61-743,,6325.05,781133894
42,Erna,Rutkowska,Kalisz,61-425,,8655.88,
43,Zenona,SAadowska,Szamotuły,60-563,94,73742.8,576491089
44,Judyta,Andrzejewska,Ostrów Wielkopolski,61-395,57,4369.89,
45,Erika,Kowalska,Poznań,61-858,39,4169.67,733227492
46,Izabella,Górecka,Konin,60-592,,9245.12,535671364
47,Aldona,Szymańska,Kalisz,61-23,40,9391.97,450905388
48,erda,Wasilewska,Poznań,61-734,48,7645.82,
49,Bogumiła,Jankowska,Leszno,60-11,77,9991.41,
50,Woletta,Sadowskas,Ostrów Wielkopolski,61-677,,1913.22,512870985
51,Ana,Czerwińska,Poznań,4-426,73,8637.26,798488124
52,enigna,Kalinowska,Konin,61138,63,5177.38,
53,Filomena,Domańska,Piła,61-46,55,10462.86,663880406
54,Zinaida,Kamińska,leszno,61-035,86,8072.60,578320651
55,Marcela,Sawicka,Konin,60-661,88,228.32,
56,Leonarda,Witkowska,Ostrów Wielkopolski,61-042,42,5663.46,500053012
57,Matyla,Górecka,konin,63-911,96,7513.57,735037511
58,Bogumiła,Nowakowska,Poznań,77-416,,3657.88,889698371
59,Mirosłaa,SobcHzak,Poznań,6-195,,8399.35,608714724
60,Angelik,WłodarczyHk,szamotuły,0-866,97,509.286,517837761
61,Lilianna,Ppawłowska,Poznań,60-553,76,7741.22,
62,Wiolta,Jasińska,kalisz,60-141,31,5956.76,793088621
63,Ldomira,Pietrzak,Poznań,61-672,,6471.16,573507218
64,Leontyna,Kowalska,Konin,60-391,,548618,660395271
65,Bernarda,Zawadzkap,Szamotuły,60-559,,6677.54,720942639
66,Julita,Kulesza,Kalisz,60-76,41,10778.76,502589082
67,Pelagia,Sikoerska,Szamotuły,63-140,75,9770.12,
68,Halina,Andrzejewska,Poznań,61-59,93,F708.96,720875006
69,eliksa,Kulesza,Kalisz,60-564,33,6949.41,691733387
70,Miczysława,Wawrzyniak,Piła,62-235,,8688.40,510620391
71,Bożenna,Pawłowpska,Konin,61-841,71,9259.94,739976828
72,Narcyza,Maciejewska,Leszno,61-52,,5340.36,575431745
73,Natalia,Wojciechowska,Piła,61-341,32,6854.12,665234010
74,Urszula,Wasilewska,Konin,61-64,20,3356.08,734258527
75,Ludwik,KowRalska,kalisz,61-713,51,9246.20,791579378
76,Violetta,Nowicka,ostrów wielkopolski,60-32,,11130.05,735102261
77,Edeltrauda,Marciniak,Poznań,1-022,,7160.17,882162452
78,Julit,Piotrowska,leszno,61-017,31,2749.98,571809943
79,Ingeborga,Kowalska,Poznań,60188,,8217.78,732910246
80,Filmena,Jankowska,Konin,60-004,48,5191.82,531927244
81,Bożenna,Witkowska,Poznań,63-520,40,5673.30,577087094
82,Irma,Wiśniewska,gniezno,61-156,,8253.15,695217109
83,Izabela,Walczak,Poznań,61-459,,75X09.11,883576839
84,Zofia,IZawadzka,Gniezno,61-418,,6023.78,797825006
85,Iwona,Szczepańska,poznań,60-274,94,5700.79,886189009
86,Kailla,SzulcX,Konin,62-305,62,7251.67,693732734
87,Ryszarda,Szulc,Leszno,60-57,69,6181.07,889666334
88,Bogusława,Malinowska,Gniezno,60-769,24,4781.53,669855040
89,Kornlia,Maciejewska,Konin,61734,33,6334.87,
90,Mariola,Jakubowska,konin,61-654,,7679.19,663472285
91,Balbina,Rutkowska,Piła,61-729,,6643.79,662763787
92,Longina,Kamińska,Kalisz,61-611,87,4172.98,536419836
93,Izabella,JasińskaW,poznań,61-841,33,8978.13t,888155507
94,Pelagia,Pawlak,Piła,60-60,,1522.38,606878093
95,Lucja,Kwiatkowska,Leszno,62-840,45,6107.27,577511407
96,Izbella,Głowacka,Poznań,63-714,66,5759.60,780221714
97,Renata,Tomczak,Kalisz,60-434,,7296.36,
98,Aleksandr,WasiSlewska,Poznań,60-173,,8123.32,
99,Ntasza,Dudaj,Poznań,60-20,92,9253.53,
100,Serafina,Adamska,gniezno,61-818,,5575.19,503236803
101,Erna,Kowalska,poznań,64-200,72,8173.16,505238836
102,Julia,Szymczak,Gniezno,1-833,64,73j1.64,532179681
103,Juitta,Urbańska,Szamotuły,61-418,43,3576.92,792060142
104,Wincentyna,Domańska,Kalisz,61-118,92,10801.80,
105,Bernardyna,Szulc,gniezno,61-218,26,4H122.45,793806219
106,Klra,Czajka,Gniezno,60-312,76,7838.99,
107,Julia,Kucharska,ostrów wielkopolski,61-131,,7779.92,
108,Kzimiera,Zielińska,leszno,62-740,93,7551.27,
109,Modesta,Grabowska,poznań,61-770,61,6010.85,723703599
110,Teodora,Duda,Kalisz,60-248,44,8654.51,515001221
111,Sylwia,Laskowska,Kalisz,60-167,,3879.27,536882099
112,Apolonia,Pawłowska,poznań,61-09,81,6868.34,
113,Klaudia,Wojciechowska,kalisz,61-151,59,5872.25,604020728
114,Łucja,Zawadzka,Poznań,60-59,,6545.40,450991699
115,Hermina,Brzezińska,Szamotuły,1-103,40,7857.50,722100157
116,Miena,Dromańska,Poznań,62-430,66,9154.96,
117,Maj,Szymczak,poznań,61-214,89,6313.49,516661970
118,Teodozja,Kaczmarska,Poznań,60196,,8561.36,505916686
119,ila,Wilczyńska,Poznań,60-198,58,7099.48,575109687
120,Tatina,Sadowska,Leszno,64-500,,5214.54,452226717
121,Sewryna,Cczajka,poznań,60-313,83,6484.10,795556729
122,Renata,Urbańska,Leszno,60-312,91,6401.03,668544296
123,Anastazja,Dudek,Poznań,60-574,,606.68,
124,Helena,Laskowska,konin,62-105,100,7856.9,
125,Marzenna,Nowicka,Konin,62-120,31,746.29,452864178
126,Izabella,Michalak,Leszno,60-760,61,3818.70,
127,Marta,eSikorska,Leszno,61-324,57,3696.95,539545887
128,Hanna,Rutmkowska,Poznań,61-239,83,7849.37,531692009
129,Elfryda,oZielińska,Poznań,61-781,93,5369.43,518163881
130,Cecylia,Zielińska,Poznań,60-524,78,7604.08,
131,Sława,Michalska,gniezno,61-704,,8561.86,780676065
132,Żaneta,Cieślak,Ostrów Wielkopolski,64-305,53,4458.09,455935045
133,Izabella,Stępieńska,szamotuły,62-84,60,4176.93,698268125
134,Ptrycja,Zawadzka,Kalisz,61-333,60,10348.86,454103724
135,Zofia,Kowaalewska,kalisz,61-418,20,7703.14,600716101
136,eronima,Maj,Leszno,61-583,59,6161.52,607236506
137,Boesława,Lewandowska,Gniezno,62-600,88,5132.12,731554200
138,Ingeborga,Bednarska,gniezno,61-449,76,5979.12,606616748
139,Wiesława,Sadowska,piła,0-395,,4618.86,
140,Otylia,Krajewska,Piła,60-252,50,8766.82,607506628
141,Arleta,Szymczak,konin,63012,,5446.50,693595669
142,Lucjanna,URrbańska,Gniezno,61-892,,9187.07,
143,Edwarda,UrbaniBak,Gniezno,26-590,,6918.74,572653251
144,Albina,LaskowskIa,Leszno,61-553,57,4913.30,537739335
145,Julia,Kowalska,Szamotuły,61-116,39,6147.40g,
146,Izabella,Szewczyk,poznań,61-368,21,1751.67,663879159
147,Eliza,Tomaszewska,Ostrów Wielkopolski,61-309,,6758.46,793039987
148,Nina,Marciniak,Gniezno,61-627,54,6659G76,
149,Zofia,Wilczyńska,Poznań,62-709,,8649.49,694636891
150,Blanka,Domańska,Gniezno,64-80,38,3227.39,510003844
151,Ida,Wawrzyniak,Poznań,60-866,62,9323.73,783062056
152,Bogumiła,Cieślak,gniezno,60-355,,8641.2T0,698336566
153,Irmina,DomańsHka,Gniezno,62-811,57,9540.09,731270580
154,Józefa,MłYynarczyk,kalisz,62-731,66,6894.56,886617852
155,Tekla,Brzezińska,piła,60-33,19,9027.79,661067193
156,Ludwika,Borkowska,Poznań,62-550,,4057.51,606480601
157,Adriana,Adamczyk,Leszno,62-600,24,8426.10,451863389
158,Benedykta,Lis,Konin,61-729,55,5457.67,786485931
159,ilhelmina,Szymańska,poznań,60-265,35,3697.20,455247063
160,Józefa,Baranowska,konin,61-871,61,4751.72,574384460
161,Ksenia,Rutkowshka,Poznań,61-841,,7011.06,
162,Natalia,Urrbaniak,Konin,62-64,89,53514.0,725567941
163,Ea,Dudek,konin,61-315,51,7752.15,458260594
164,Irmina,Domańska,Piła,61-003,70,3a383.52,782746370
165,Izabella,Wasilewsqka,Leszno,61-243,,2745.80,578916085
166,Ernestyna,UrbanCiak,Piła,64-423,,9744.7,883366821
167,Prakseda,Nowakowska,Konin,62-100,,8807.60,791581534
168,Izabella,Tomczak,Leszno,62-610,62,4901.41,511436041
169,Kornela,CiBeślak,kalisz,61-011,56,994.00,782619165
170,Eleonoa,Kucharska,Konin,61-877,97,903901,
171,Sławomra,Szczepańska,Poznań,61-212,76,7838.40,
172,Karolina,Jasińska,kalisz,61-308,,7296.45,886000319
173,Włodzimier,Szewczyk,poznań,61-87,42,9190.31,789460909
174,Eugenia,Michalak,Konin,61-221,,5538.58,
175,Grażyna,Szewczyk,Kalisz,62-782,,706.236,
176,Feiksa,Maj,Konin,61-643,,6964.30,538873328
177,Ludwina,Kubicka,Piła,60-374,99,6454.48,721028394
178,Diana,Głowacka,Poznań,64-708,72,6220.39,792385541
179,Hanka,Górska,szamotuły,60-70,92,7145.74,609799537
180,Diana,Szewczyk,Gniezno,61-767,,7068.81,780239478
181,Stella,Czarnecka,Szamotuły,60-171,,4903.14,600173121
182,Elia,Bąk,Piła,60654,75,8603.59,509255351
183,Izabela,PDudek,poznań,3-013,,5047.23,
184,Konstancja,Dudek,kalisz,62-604,93,6563.53,601830557
185,Edeltrauda,Urbaniak,Poznań,64-010,84,6409.44,
186,Izabella,Kulesza,piła,61-38,27,7716.21,
187,Gnowefa,Zielińska,kalisz,6-638,29,2761.79,
188,Eufemia,Czerwińska,Poznań,62-080,24,8781.82,
189,Jlia,Rutkowska,Szamotuły,60-22,58,5646.02,500349496
190,Lucjanna,MaciejewsDka,Poznań,62-292,25,9439.93,727705933
191,Alfreda,Kucharska,kalisz,63-42,77,6043.67,505119382
192,Henryka,Wawrzyniak,gniezno,60-783,63,6902.31,501959029
193,Ernestyna,Zawadzka,Poznań,61-288,87,10827.57,882727373
194,Marola,Wawrzyniak,Kalisz,61-136,41,6445.32,
195,Gabriela,Grabowska,piła,60-425,,9477.70,660181022
196,Teofila,Głowacka,Poznań,60785,28,7078.09,725673167
197,Jowia,Sadowskam,kalisz,64-410,91,7830.84,694530954
198,Daniela,KamińDska,poznań,69-21,32,7139.92,730664964
199,Zenona,SzczepańskaY,gniezno,61-58,26,8W95.70,
200,Wincentyna,Olszewska,Poznań,61-419,,5628.94,573923365
201,Bernardeta,Nowicka,szamotuły,61-741,,5031.90,737961578
202,Korelia,Urbańska,Piła,61-730,27,5722.85,692617100
203,Marta,SokołowskaE,Poznań,61-13,68,7199.42,
204,Tresa,Andrzejewska,Leszno,61-752,79,6558.36,797518599
205,Natalia,BEednarska,kalisz,60-506,80,8420.55,502302887
206,Regina,Pawlicka,gniezno,64-704,,9609.46,882751609
207,Florentyna,Malinowska,konin,62-652,23,548.32,692558575
208,Henryka,Jaworska,Poznań,63-450,55,5532.10,
209,Adelajda,Laskowska,Poznań,64-412,35,4127.52,793516724
210,Inga,Szewczyk,ostrów wielkopolski,60-348,75,11060.75,
211,Żaneta,Urbańsjka,Konin,61-289,,7609.34,575358337
212,Wioletta,Olsazewska,Piła,6-477,55,7959.60,665059380
213,Erika,Kucharska,konin,60-851,27,4319.58,885803977
214,Lubomir,Kaczmkarska,szamotuły,63-004,65,6997.66,539856125
215,Olimpia,Michalska,poznań,61-39,33,8018.50,
216,Regina,Kowalewska,poznań,60-355,74,6494.48,
217,Henryka,Olszewska,Szamotuły,2-200,24,9151.41,728146304
218,Wielisława,Sawicka,szamotuły,60-213,98,11623.66,509665322
219,Zenobia,Brzezińska,Leszno,60-309,74,5105.u7,
220,Wlentyna,Adamczyk,Konin,60-202,33,4955.83,506308792
221,Karin,Gbórska,Konin,61-523,19,524.49,
222,Edeltrauda,Wilczyńskax,Konin,61-417,45,10212.40,796838730
223,Radosłaa,Rutkowska,Poznań,61-251,31,9084.71,695107344
224,Honoraa,Dudek,Piła,62-050,36,6728.94,726032147
225,Sława,Wilczyńska,Poznań,61-517,,7073.12,662230292
226,Jadwiga,Makowska,Gniezno,61-219,67,5366.91,507523498
227,Irmina,Makowska,poznań,62-291,32,878K0.05,578540969
228,Leontyna,Wojciechowska,Poznań,61-136,64,6240.20,609175197
229,Lucyna,Borkowska,gniezno,60-639,39,6479.85,455404714
230,Bogumiła,Górska,Leszno,60-549,98,8217.58,692480916
231,Kamila,Pawlak,Gniezno,63-57,21,6624.01,507892809
232,Galina,Górecka,Poznań,60-72,78,6530q.07,786893761
233,Lilia,Sikora,Szamotuły,64-316,81,7021.15,
234,Otolia,Górska,gniezno,64530,24,8590.71,
235,Erika,Cieślicka,Piła,2-006,32,10292.99,781322145
236,Kina,GórecTka,Poznań,61-819,,810.97,456586027
237,Ingeborga,Laskowska,Leszno,60-222,,8606.63,
238,Janina,Dudek,Konin,60-356,62,6600.29,733596183
239,Józefa,Czerwińska,kalisz,60-284,72,5584.40,666194095
240,Enestyna,Waxsilewska,Leszno,61-699,82,830t.97,
241,Dobrosawa,Kowalska,poznań,60-803,,7342.48,506945848
242,Natalia,Król,Konin,61-734,57,4154.74,514102489
243,Eliza,BorHkowska,Poznań,60-245,60,6343.86,666990546
244,Rita,Krawczyk,Konin,64-810,77,6834.21,602402843
245,Celestna,KaczSmarek,Poznań,60-786,40,5979.08,
246,Maryla,Pawłowska,Poznań,60-335,88,9963.47,535124954
247,Marzana,Górecka,Kalisz,61-52,20,7959.68,510132458
248,Izbella,WilczyńsNka,Konin,61-664,34,9746.35,
249,Ewelina,Wiśniewska,Leszno,60-615,84,7Z526.85,
250,Seweryna,Cieślicka,Kalisz,61-852,46,7162.78,507863126
251,Celestyna,Cieślicka,Gniezno,60-78,,512M.80,662564669
252,Mrlena,Czajka,Konin,60-196,33,7023.86,788482874
253,Oga,Pawłowska,kalisz,60-651,,7026.11,882624235
254,Celina,Czarnecka,szamotuły,63-233,87,4265.77,793674847
255,Eufemia,Walczak,kalisz,61-509,24,5920.95,730870857
256,Berta,Szewczyk,piła,64360,20,6353.43,
257,Lucyna,Tomczak,Gniezno,60-261,,7826.96,
258,Alcja,Michalska,poznań,60-808,,792.70,792926066
259,Lilia,Zielińska,Konin,62-14,,583p.36,518151401
260,Marzena,Bednarska,gniezno,65-590,97,7937.74,
261,Marcelina,Kulesza,ostrów wielkopolski,61-252,,6Q635.84,
262,Zenna,Kowalska,Konin,62-561,,1260.6,
263,Marta,Wójcik,Poznań,60-623,85,6030.60,793734720
264,Emma,Ostrowska,Kalisz,60-325,,9157.98,788923475
265,Izabela,TomaszewskaH,Poznań,60-104,60,3636.39,889413865
266,Honorata,DOudek,Gniezno,62-100,53,7225.38,
267,Mariola,Zawaodzka,Kalisz,61-43,85,10170.52,738962187
268,Mirosława,Mazurska,gniezno,61-816,83,5478.77,605204310
269,Zofia,Marciniak,piła,62-052,,7004.30W,734944670
270,Marianna,Zakrzewska,Kalisz,61-833,100,4391.97,735309785
271,Łucja,Kubivcka,Kalisz,60-860,57,0254.46,795286530
272,Jolanta,Kulesza,Gniezno,61-121,84,6833.33,
273,Patryca,Pawlak,Piła,6-307,89,7093.25,789293480
274,Luiza,Czerwińska,piła,61-94,35,9708.60,666835395
275,Izabella,Kowalska,Poznań,61-537,21,8322.96,
276,Izabella,Grabowska,Kalisz,60-639,51,5248.74,667181976
277,Adelajda,Cieuślicka,Poznań,60-747,,570p5.44,451937021
278,Jowita,Wasilewska,piła,60287,42,7989.86,693117605
279,Ala,Pawlak,Kalisz,63-400,75,5751.6,664116139
280,Helena,KrawPczyk,konin,61-166,19,2765.51,889305403
281,Sabina,Kwiatkowska,Poznań,64-061,,6893.52,577863475
282,Celia,Lewandowska,leszno,60-204,68,4039.57,606519615
283,Wacława,Przybylska,Gniezno,64-410,29,10232.56,512313813
284,Edwada,Wiśniewska,poznań,62-106,92,7353.58,886060689
285,Anastazja,Wiśniewska,Poznań,61-116,31,5189.65,795708210
286,Bożena,Kucharska,Piła,61-064,93,5602.47,732248871
287,Izabella,Kowalska,Gniezno,60-514,36,3221.20,516161345
288,Eliza,Maciejewska,Poznań,64-115,100,H4801.08,519122432
289,Hnna,Olszewska,Leszno,6-538,,9032.65,
290,Judyta,vMaj,Szamotuły,60-31,25,11463.5m,516946089
291,Stanisława,Sadowska,Gniezno,6-332,23,8452.79,694642269
292,Słwa,Nowicka,Kalisz,60-83,24,6815.91,609311081
293,Stefania,Kowalska,Leszno,60-654,66,6136.08,733788513
294,Estera,Kołodziejska,Leszno,60-47,,5087.01,789831767
295,Modesta,Kubicka,Poznań,61-845,51,11119.53,693950980
296,Bibianna,Cieślak,Gniezno,61-09,54,6622.50,792468648
297,Augustyna,WDuda,poznań,60-681,66,11231.26,511738109
298,Wincentyna,Stępjieńska,Poznań,60626,62,97S7.04,727815254
299,Ruta,Kucharska,gniezno,63-840,74,3518.41,457991588
300,Wincentyna,Górska,szamotuły,61-778,,5668.10,513044798
301,Monika,Olszewskai,gniezno,60-279,77,5661.91,501375123
302,Eiza,SzeLwczyk,konin,60-169,,6840.31,
303,Sławomira,Jasińska,Konin,61-897,47,6879.37,783403647
304,Hrmina,Urbańska,Konin,61-327,19,12992.48,570513568
305,Ryszarda,Wiśniewska,leszno,62840,28,4845c54,690483628
306,Izabella,Pawlicka,Kalisz,62-650,63,7457.94,732687974
307,Kunegunda,SaNdowska,Konin,63-830,,8233.02,534555618
308,Julia,BednarsJka,Kalisz,61-001,95,J996.86,509112325
309,Bogumiła,Wójcikq,Piła,62-561,69,7220.36,692248516
310,Elwira,Kucharska,Ostrów Wielkopolski,61-762,61,4910.38,
311,Anastazja,Wiśniaewska,Poznań,61-76,83,7212.97,530540260
312,Natalia,Ostrowska,Konin,60-767,39,8022.80,785548652
313,Izabella,Adamska,Poznań,61-09,85,7655.20,
314,Izabella,Baranowska,Konin,60-22,18,8140.40,
315,Izabella,Sikora,Leszno,26590,69,9825.2,734495032
316,Izabella,qOlszewska,Poznań,61-375,95,8873.93,739143437
317,rzysztofa,Andrzejewska,Gniezno,64-360,83,7142.59,
318,Felicja,Szczepańska,Kalisz,63-750,88,4656.j8,605493899
319,Izydora,Walczak,Szamotuły,60-264,,7599.99,789279515
320,Ksenia,Mazurska,Poznań,62-000,86,6560.74,504035801
321,Gizela,Maj,Poznań,60-538,63,7504.69,668937544
322,Izabella,Adamska,Konin,61-302,69,6043.33,698441001
323,Eliza,Szymczak,Poznań,6-502,23,5128.53,
324,Malwina,Kowalska,Poznań,61-012,35,4623.60,518528759
325,Jarosława,Wawrzynyiak,Ostrów Wielkopolski,61-602,,3697.64,
326,Erika,Kubvicka,Poznań,60-469,,6530.01,792186540
327,Eliza,OlszewVska,poznań,61-608,79,060.67,664321915
328,Leontyna,Kaczmarska,Kalisz,60-701,87,4998.95,516933509
329,Aldona,Duda,kalisz,60-005,93,6212.20,
330,Leonia,Szymańska,Kalisz,61-782,26,4328.17,452440325
331,Sylwia,Mazurska,konin,60-203,95,7759.50,721907979
332,Inga,Młynarczyk,Piła,63-840,,8480.45,
333,Cyryla,Zając,Poznań,0-138,,5901.15,794787849
334,Regina,Zając,konin,60-38,87,6125.95,454446220
335,Amelia,Wasilewska,Gniezno,60-347,,8074B86,
336,Genowefa,Dąbrowska,Piła,60-731,19,5572.01,880007137
337,Benedykta,Pawlicka,konin,61-672,20,5434.53,880895386
338,Renata,Wawrzyniak,Kalisz,60-232,,9393.00,
339,Włodzimiera,Kubicka,poznań,60-725,,8768.38,459232536
340,Magdalena,CiSeślicka,poznań,60328,,8203.10,500859957
341,Heronima,Tomczak,poznań,61-541,28,8851.29U,722638872
342,Augstyna,Malinowska,Gniezno,62-406,65,3045.44,889892617
343,Anetta,Olszewska,Leszno,64-610,37,977.67,513545541
344,Ingeborga,OZawadzka,Gniezno,60-692,78,7784.12,784438785
345,Dobrosława,Pawłowska,Poznań,61-212,96,9021.56,519707391
346,Iza,Lewandowska,Piła,61-486,81,v7774.32,728440504
347,Róża,Kubicka,Piła,60-49,,7097.85,786416751
348,Patrycja,Laskowska,Poznań,61-442,61,6449.l38,538939004
349,Genowefa,Czarnecka,Poznań,60-439,86,7734.29,793127936
350,Aelia,Szybmczak,poznań,64-061,33,6376.50,518030935
351,Emilia,Urbańska,piła,64850,24,8735.75,736486125
352,Dagmara,Kamińsgka,Poznań,63234,,3827.09,531935911
353,Edwarda,Kaźmierczak,Kalisz,60-37,22,59k6.85,729615331
354,Liliana,Wawrzyniak,konin,60-661,,11089.65,884956605
355,Eliza,Andrzwejewska,Gniezno,60-357,75,5747.84,
356,Ludomira,MiGchalska,Kalisz,60-791,96,6522.63,734109629
357,Sylwestra,Maj,kalisz,60-631,44,5234.84,573698811
358,Arleta,Sobczak,ostrów wielkopolski,61-19,,7671.69,577877128
359,Teofila,Duda,poznań,61-203,79,5527.47,791826617
360,Otolia,SadoJwska,Piła,60-27,38,6628.78,694992379
361,Władysława,Kubicka,Poznań,60-336,62,8697.73,530290897
362,Aleksandra,Pawłowska,Konin,0-841,72,5062.47,886902760
363,Renta,Baranowska,piła,60-863,98,8577K.22,600646400
364,Klementyna,Majp,Gniezno,60-71,79,8644.46,739472555
365,Kamila,Michalska,gniezno,60-309,28,9109.91,883670970
366,irela,Górska,Poznań,1-248,57,7281.08,531683261
367,Tekla,Domańska,Konin,61-136,,13482.52,
368,Izabella,Gajewska,Konin,62-02,30,9109.07,
369,da,Kozłowska,Kalisz,60-552,53,7649.76,458727018
370,Ludomira,Cieślak,Konin,61-689,,5248.15,514391165
371,Julia,Wójcik,leszno,63-220,28,6805.88,577912378
372,zabella,Kulesza,Leszno,61-624,,9I52.65,695735670
373,Izabella,Tomaszewska,poznań,64-520,32,10419.07,791964265
374,Aniela,Zakrzewska,Konin,60-703,,9956.66,575389330
375,Marzena,Bąk,Poznań,60-521,32,85j0.38,794949701
376,Włodzimera,Rutkowska,Piła,64-61,77,4488.68,508526157
377,Nina,Wawrzyniak,kalisz,61-728,,7974.32,570041022
378,Izabella,Przybylska,Poznań,60-575,91,4517.20,786025075
379,Liia,Lewandowska,Gniezno,61820,20,4025.06,509214490
380,Bernarda,Lewandowska,Piła,60-224,61,7478.32,511952052
381,Włozimiera,Baranowska,Poznań,61-642,,8046.40,
382,Marcela,Młynarczyk,poznań,61-741,36,880.675,
383,izela,Zielińska,Poznań,60-787,57,7994.27,518325732
384,Izabella,Zając,poznań,62-301,87,8063.P7,601913411
385,Jagoda,Bfaranowska,gniezno,61-231,93,5030.69,609154983
386,Bernardyna,Sokołowska,Ostrów Wielkopolski,60-73,43,6790.05,
387,Kornela,Kaźmierczak,Poznań,61-802,31,3985.77,510739352
388,Aleksandra,Wilk,gniezno,60-548,,2c993.26,
389,Al,Bednarska,Poznań,60-192,66,8481.29,889451256
390,Luba,Wojciechowska,Kalisz,62040,34,5493.75,508488029
391,Henryka,Urbańska,Gniezno,61-286,80,8745.00,729136721
392,Elfryda,Czajka,konin,61-857,,9216.70,784767581
393,Krzysztofa,Borkowska,Poznań,64-125,72,576C1.37,
394,Tersa,Urbańska,kalisz,61-379,47,8180.62,
395,Marlena,Duda,ostrów wielkopolski,61-747,54,5677.69,
396,Marcelina,Młynarczyk,Poznań,62-580,33,3308.24,699778849
397,Violetta,Witkowska,Poznań,63-460,80,Q246.62,885400065
398,Leonarda,Olszewska,poznań,61-245,31,6058.25,883739475
399,Paulina,Kulesza,kalisz,61-136,,6119.82,665935681
400,Pelagia,Maciejewrska,Kalisz,62-540,83,10950.69,735577528
401,Ksenia,BrzezińPska,Gniezno,61-567,79,3948.29,721468400
402,Marcela,Zakrzewska,Gniezno,60-728,20,7765.74,
403,Alia,KaźmZierczak,Piła,61-714,,5010.3Y9,727989919
404,Józeina,Gajewska,gniezno,61-661,,8816.52,783283495
405,Larya,Kamińska,Poznań,61-524,67,7596.86,720160507
406,Ludwika,ZającW,Kalisz,60-718,,77586.9,608226006
407,Magda,Cieślak,Leszno,60-159,,5110.22,514507745
408,Lucyn,Wasilewska,leszno,6-694,,5468.82,507310561
409,Zbigniewa,Sokołowska,Szamotuły,64-330,31,8854.50,699915901
410,Filomena,Urbańska,Gniezno,61-155,48,10541.60,
411,Sewryna,Zawadzka,Ostrów Wielkopolski,62-020,22,7960.62,739728913
412,Iwona,WalczakE,Konin,60-709,79,5205.16,795689149
413,Ida,Wyesocka,Kalisz,63-642,30,7677.88,
414,Halina,Czerwińska,kalisz,60-245,39,11854.94,
415,Alfreda,Szymczak,Poznań,60-113,,7204.85,
416,Marta,Nowicka,poznań,61047,62,9923.68,
417,Mirela,Nowakowska,Kalisz,61-469,,5519.34,
418,Wioletta,YWilk,Poznań,62-600,18,6195.83,
419,Adolfina,Zakrzewska,Szamotuły,61-611,,8239.13,535192030
420,Klementyna,Sokołowska,Poznań,61-632,,779.466,662739120
421,Ewa,Malinowska,poznań,0-330,33,5467.22,579387315
422,Krystyna,Maciejewska,Gniezno,61-15,,5380.97,661546577
