rec-id,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform
rec-0099-org,Malwina,Pawlicka,62-006,Gniezno,881773180,6663 3572 2175 5873,55571.08,30
rec-0100-org,Bernarda,Laskowska,60-204,Poznań,797990772,6642 3031 6069 7608,37227.60,70
rec-0101-org,Irma,Malinowska,61-334,Poznań,884989319,5501 0899 8434 5964,28960.02,89
rec-0102-org,Barbara,Maj,61-455,Leszno,518183253,8842 1861 7840 9505,78196.64,87
rec-0103-dup-0,Gertruta,Malinowzka,60-62e,Konin,,7967 8216 8630 2011,56268.78,7
rec-0103-org,Gertruda,Malinowska,60-623,Konin,726401557,7967 8216 8630 2011,56268.78,47
rec-0104-org,Sławomira,Dąbrowska,61-719,Leszno,881371162,4725 1261 1792 2700,63425.42,28
rec-0105-dup-0,Izybella,Lewandowska,60-471,,576827567,0352 4777 30981032,51013.65,3
rec-0105-org,Izabella,Lewandowska,60-371,Gniezno,576827567,0352 4777 3098 1032,51013.65,2
rec-0106-org,Aleksandra,Kaźmierczak,61-291,Poznań,699887749,2162 5022 2814 4260,43825.83,23
rec-0107-org,Marianna,Witkowska,60-558,Poznań,692928422,2515 2642 3898 1916,42797.39,4
rec-0108-org,Krystyna,Baranowska,60-373,Piła,720552578,2664 8744 4941 1991,43458.59,92
rec-0109-org,Lucja,Górecka,61-845,Poznań,510885474,9400 2410 9261 7244,24469.89,34
rec-0110-dup-0,Julya,Marcinik,77-420,Ostrów Wielkopolski,,1516 5348 0902 964,53680.09,624
rec-0110-dup-1,Jul8a,Marcinik,76-420,Ostrów Wielckopolski,504069375,1516 53480902 9964,53680.09,64
rec-0110-org,Julia,Marciniak,77-420,Ostrów Wielkopolski,504069375,1516 5348 0902 9964,53680.09,64
rec-0111-dup-0,Izabel1a,Sokołovskiea,61-815,Kon9n,727186375,9883 9914 83820919,44405.35,91
rec-0111-org,Izabella,Sokołowska,61-715,Konin,727186375,9883 9914 8382 0919,44405.35,91
rec-0112-dup-0,Lutomira,Baranovvska,60-177,Leszno,,3534 7279 6810 7250,,219
rec-0112-org,Ludomira,Baranowska,60-177,Leszno,454554781,3534 7279 6810 7250,24767.50,29
rec-0113-dup-0,Isabella,Sokołowjka,missing,Kon8n,513478519,6157 12450 0109 6709,40574.30,64
rec-0113-dup-1,Izahella,Sokołowsla,60-r33,Konin,,6157 1450 03109 6709,40574.30,64
rec-0113-dup-2,Izapella,Sokołowska,missing,Konin,,6157 140 0109 6709,,64
rec-0113-org,Izabella,Sokołowska,60-433,Konin,513478519,6157 1450 0109 6709,40574.30,64
rec-0114-dup-0,Felicja,Wastilewska,61-828,Lezzno,532648704,9589 49808096 9164,4728.21,64
rec-0114-dup-1,Felicsa,Wasile3ska,61-838,Lejzno,532648704,9589 4980 8096 91642,,74
rec-0114-org,Felicja,Wasilewska,61-838,Leszno,532648704,9589 4980 8096 9164,4728.21,74
rec-0115-dup-0,Kvarolina,Lasckowska,61-203,Gniezno,,4542 8079 1094 983,,75
rec-0115-org,Karolina,Laskowska,61-203,Gniezno,504627301,4542 8079 1094 9813,56402.51,75
rec-0116-org,Jolanta,Domańska,60-857,Gniezno,791589042,9530 0959 2395 5238,60319.79,46
rec-0117-dup-0,Elisa,Ssczepańska,60-685,Kalis,785044818,3176 3003 15849 9811,61757.85,35
rec-0117-dup-1,Elisa,Szchepańska,60-y85,Kalisz,785044818,3176 3003 154 9811,,75
rec-0117-dup-2,Elisa,Szczepańscka,60-685,Kalis,,3176 3003 15649 9811,61757.85,75
rec-0117-org,Eliza,Szczepańska,60-685,Kalisz,785044818,3176 3003 1549 9811,61757.85,75
rec-0118-dup-0,Henrvka,Micbalska,missing,Leszno,508952028,4611 6112 79245 6751,,34
rec-0118-org,Henryka,Michalska,62-865,Leszno,508952028,4611 6112 7945 6751,34782.88,34
rec-0119-org,Milena,Kwiatkowska,60-478,Piła,728167112,0285 7857 5706 5105,27806.00,69
rec-0120-org,Marta,Sokołowska,61-698,Poznań,514013223,5037 2054 3439 2134,39112.92,98
rec-0121-dup-0,Lutmiła,Kóbicka,60-326,Gniesno,886031089,0972 7686 1949 4146,,
rec-0121-org,Ludmiła,Kubicka,60-326,Gniezno,886031089,0972 7686 1949 4146,58468.88,4
rec-0122-dup-0,Włotzimiera,Olszewskq,61-418,Gniezno,,8203 363 8273 9343,96314.32,7
rec-0122-org,Włodzimiera,Olszewska,61-518,Gniezno,451249552,8203 3963 8273 9343,96314.32,7
rec-0123-dup-0,Krzysztova,Malinowzka,60-t19,Gniezno,,600 9657 3034 7204,78674.21,67
rec-0123-dup-1,Krzyzztofa,Malinoska,60-619,Gniejno,,6005 96573034 7204,78674.21,67
rec-0123-org,Krzysztofa,Malinowska,60-619,Gniezno,572801387,6005 9657 3034 7204,78674.21,67
rec-0124-org,Adolfa,Jabłońska,62-005,Szamotuły,885171827,5919 4724 9129 0666,49649.36,8
rec-0125-dup-0,Bernartyna,Olszewska,missing,Kalisj,,1141 7794 6021 293,68223.26,1
rec-0125-dup-1,Beahnardyna,Olszewscka,63-803,Kal8sz,787386463,1141 77934 6021 2938,68223.26,1
rec-0125-org,Bernardyna,Olszewska,63-903,Kalisz,787386463,1141 7794 6021 2938,68223.26,1
rec-0126-dup-0,Matylda,Ssulc,60-y06,Kon8n,,5960 3262 5549 322,92215.19,59
rec-0126-dup-1,Matylda,Stsulc,60-70y,,,5960 262 5549 3282,92215.19,59
rec-0126-dup-2,Madylda,Szuld,60-705,Konin,,5960 32625549 3282,92215.19,59
rec-0126-org,Matylda,Szulc,60-706,Konin,502669121,5960 3262 5549 3282,92215.19,59
rec-0127-org,Izabella,Wasilewska,61-334,Konin,886579678,4570 2415 7449 1771,49524.55,12
rec-0128-org,Lilianna,Kalinowska,60-186,Konin,507026952,4961 1579 1254 8519,62585.11,77
rec-0129-dup-0,Antomina,Szkzepańska,60-443,Poznań,578588006,1952 6286 7375 51154,,84
rec-0129-org,Antonina,Szczepańska,60-443,Poznań,578588006,1952 6286 7375 5154,47955.51,85
rec-0130-dup-0,Czesławq,Sokołowska,61-276,Kaliss,792762467,1793 90321 8038 9074,54727.39,969
rec-0130-org,Czesława,Sokołowska,61-286,Kalisz,792762467,1793 9321 8038 9074,54727.39,69
rec-0131-dup-0,Izabelpa,Stepieńska,60-763,Gniezno,,1007 0462 967 0740,25932.65,133
rec-0131-dup-1,Isabella,Stępleńska,missing,Gniezno,,1007 0462 967 0740,25932.65,13
rec-0131-org,Izabella,Stępieńska,60-763,Gniezno,577969545,1007 0462 9675 0740,25932.65,13
rec-0132-dup-0,Zdzisłavva,Zająk,60-414,Poznań,661655650,4002 4057 3845 55114,39895.07,9
rec-0132-org,Zdzisława,Zając,60-514,Poznań,661655650,4002 4057 3845 5114,39895.07,59
rec-0133-org,Helga,Makowska,61-643,Poznań,696986407,9634 0365 5186 6189,43247.26,57
rec-0134-dup-0,Pedronela,Szkzepańska,61-678,Piła,,7144 3306 8143 1235,,84
rec-0134-dup-1,Pedronela,Ssczepańska,61-578,Piła,,7144 3306 83143 1235,,84
rec-0134-org,Petronela,Szczepańska,61-578,Piła,607852945,7144 3306 8143 1235,51725.24,84
rec-0135-dup-0,Marianna,Młynarc2yk,60-656,Gnizno,,4479 11039281 8701,1264.52,8
rec-0135-dup-1,Maryanna,Młynarkzyk,missing,Gniezno,,4479 1103 9281 87091,1264.52,48
rec-0135-dup-2,Maruanna,Młynarcsyk,60-756,Gniezno,,4479 1103 9281 83701,1264.52,48
rec-0135-org,Marianna,Młynarczyk,60-656,Gniezno,883919195,4479 1103 9281 8701,1264.52,48
rec-0136-dup-0,Lilz,Lazkowska,6o-691,Kalisz,,8444 7426 892 2959,59067.00,88
